證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1445","大宇","232,319","1,818,896","7.84","7.98","7.77","7.83","+0.01","77"
"1446","宏和","120,001","3,283,577","27.70","27.70","27.20","27.40","+0.10","66"
"1447","力鵬","426,406","2,559,456","5.99","6.02","5.97","6.00","+0.03","111"
"1449","佳和","821,248","10,432,797","12.20","13.00","12.20","12.60","+0.40","338"
"1451","年興","176,749","2,767,430","15.60","15.75","15.55","15.65","+0.05","95"
"1452","宏益","120,010","2,039,022","16.95","17.00","16.95","17.00","+0.10","72"
"1453","大將","70,000","487,290","6.95","6.98","6.90","6.95","+0.06","28"
"1454","台富","81,160","632,482","7.85","7.86","7.75","7.78"," 0.00","31"
"1455","集盛","1,940,740","15,127,271","7.92","7.92","7.70","7.70","-0.15","606"
"1456","怡華","36,605","292,306","8.00","8.01","7.88","7.88","-0.13","25"
"1457","宜進","415,902","4,787,264","11.60","11.65","11.45","11.45","-0.05","150"
"1459","聯發","188,278","1,164,660","6.18","6.22","6.12","6.22","+0.08","46"
"1460","宏遠","682,794","4,965,802","7.41","7.43","7.20","7.28","-0.08","282"
"1463","強盛","105,912","1,201,246","11.40","11.40","11.25","11.35"," 0.00","56"
"1464","得力","1,515,296","30,359,956","20.15","20.15","19.90","20.10","+0.30","699"
"1465","偉全","494,350","7,917,632","16.10","16.10","15.90","16.10"," 0.00","275"
"1466","聚隆","111,886","903,126","7.77","8.15","7.77","8.15","+0.42","46"
"1467","南緯","1,044,931","10,340,624","9.92","10.00","9.64","9.91","-0.02","228"
"1468","昶和","14,010","139,237","9.91","10.00","9.90","10.00","+0.05","13"
"1470","大統新創","5","90","0.00","0.00","0.00","0.00"," 0.00","2"
"1471","首利","10,940","21,661","1.92","2.05","1.92","2.05","+0.05","10"
"1472","三洋紡","262,000","3,478,900","13.30","13.60","13.05","13.60","+0.40","111"
"1473","台南","304,353","6,093,165","19.75","20.25","19.75","20.10","+0.45","198"
"1474","弘裕","108,434","984,649","9.11","9.12","9.06","9.12","+0.01","58"
"1475","本盟","169,451","2,303,177","14.10","14.10","12.90","12.95","+0.10","54"
"1476","儒鴻","1,625,676","464,536,188","282.00","292.00","279.50","285.50","+3.00","1,322"
"1477","聚陽","2,358,015","289,422,378","123.00","124.50","120.50","124.00","+2.00","1,755"
"1503","士電","64,274","2,663,393","41.75","41.75","41.30","41.40","-0.35","44"
"1504","東元","2,931,719","78,749,053","26.50","27.05","26.50","26.80","+0.20","1,141"
"1506","正道","340,425","4,924,977","14.75","14.75","14.25","14.50","-0.25","258"
"1507","永大","362,194","20,988,502","59.00","59.90","58.80","59.10","+0.10","61"
"1512","瑞利","54,379","177,334","3.30","3.30","3.22","3.25","-0.05","82"
"1513","中興電","2,257,912","56,298,315","25.00","25.15","24.80","24.95","+0.05","584"
"1514","亞力","1,082,710","20,327,012","18.70","18.90","18.60","18.90","+0.35","405"
"1515","力山","14,544,021","1,002,800,538","69.70","71.50","66.50","68.50","+0.30","9,164"
"1516","川飛","164,242","2,172,367","13.50","13.60","13.00","13.30","-0.30","83"
"1517","利奇","147,511","1,065,112","7.22","7.24","7.17","7.21"," 0.00","62"
"1519","華城","824,100","20,702,775","25.25","25.40","24.80","24.85","+0.10","379"
"1521","大億","25,010","1,407,382","56.20","56.40","56.20","56.40","+0.30","20"
"1522","堤維西","440,199","10,508,576","23.90","24.00","23.75","23.80","+0.05","265"
"1524","耿鼎","484,065","4,096,279","8.38","8.60","8.33","8.55","+0.17","221"
